BMD,MECHANICS_STIFFNESS,CORT_DTO__C_TH,CORT_DTO__C_TH_SD,CORT_MOM__J,CT_TH_RAD,CT_TH_RAD_STD,CANAL_VOLUME,CANAL_COUNT,CANAL_DENSITY,CANAL_FRACTION,CANAL_PRIMARY,CANAL_THETA_Z,LACUNA_COUNT,LACUNA_VOLUME,LACUNA_DENSITY,LACUNA_FRACTION,LACUNA_ANISOTROPY,LACUNA_OBLATENESS,LACUNA_PRIMARY,LACUNA_PRIMARY_Z,LACUNA_SECONDARY,DISTRIBUTION_AISO,DISTRIBUTION_OBLATENESS,CANAL_VOLUME_CV,CANAL_THETA,CANAL_THETA_CV,CANAL_PCA1,CANAL_PCA1_CV,CANAL_PCA2,CANAL_PCA2_CV,CANAL_PCA3,CANAL_PCA3_CV,FEMALE,ID
0.034498,42.106050558,0.148194,0.016011,0.106869,84.8358134124,22.0818677906,203195.85141,182.0,245.613009448,0.0499075445722,0.640349430563,42.9973506269,28131.0,283.283806267,39151.3569827,0.0110909454266,0.668121176591,-0.326884903473,0.804513047599,0.998534837373,0.491737050848,0.233231667264,0.391238179452,2.47088038944,47.5059965111,0.490527235264,181.245212571,0.760592442322,64.6006370346,0.758971025619,32.5969059183,0.686138184224,1,537
0.0363544,65.593983312,0.164916,0.017536,0.141935,78.9416851799,20.5608150931,73715.1471504,133.0,147.415480301,0.0108667538226,0.730198016772,48.5899717467,26837.0,257.746086578,31975.5330737,0.00824156851598,0.659121949775,-0.373653681783,0.725321017757,0.997319316425,0.353038091523,0.165551281218,0.389025866936,1.99366568061,55.2937943501,0.459063676775,245.621291761,1.04668056664,63.054045677,0.836237347754,28.656410422,0.595387253534,0,539
0.038476,65.398255065,0.198998,0.016083,0.15193,90.3295841329,26.2452709256,88331.2418266,219.0,238.6267215,0.0210781946431,0.757150888643,49.2931138711,28014.0,275.23998365,32915.8155457,0.00905974853262,0.65417771243,-0.269088244664,0.751758845373,0.995485213215,0.399715930269,0.119345062982,0.475666706922,1.7071892421,54.488489996,0.417324093682,261.096260097,0.80472106553,80.1759760342,0.883177458874,35.2347105692,0.827595949058,0,540
0.0351168,64.538967636,0.188419,0.016667,0.155778,81.7728793899,15.4333794986,74057.584425,228.0,247.981176674,0.0183648869273,0.781618410039,49.9999715925,31569.0,303.137607253,35670.1957853,0.0108129778006,0.672732906921,-0.243083712355,0.814131682045,0.997675399231,0.501745454337,0.248346413502,0.302031080681,1.77612753876,54.729317234,0.393163864767,203.593828434,0.857653874103,59.9042912969,0.819232021441,30.6556470808,0.640750835423,0,541
0.038034,86.062135302,0.18878,0.020098,0.212521,83.7226677993,12.0343569718,34323.523265,141.0,151.641397267,0.00520486702705,0.607346387865,41.4303969055,34966.0,354.736347025,37357.0837466,0.0132519154238,0.698587243608,-0.211400288237,0.894232485135,0.98939050584,0.584606107095,0.308714008596,-0.0159725913804,2.76317642647,46.5989332552,0.531678339361,189.26058097,1.05454320529,59.9851588674,0.748207398379,30.4578545245,0.597822535522,0,542
0.0378572,64.033159905,0.188398,0.015265,0.152664,85.6633842584,19.2950630031,69992.5678403,194.0,201.093145266,0.0140750256122,0.67388111396,43.8912024028,28167.0,333.2469862,31931.1489914,0.0106409591673,0.695648942243,-0.12412637114,0.812512698635,0.999096707223,0.575498108333,0.190223388427,0.263826183331,1.45059556617,49.3760342309,0.507748133508,191.248529396,0.929243118703,59.9349655415,0.524594442591,31.2384407361,0.450830699731,1,545
0.0356472,61.793203329,0.177374,0.015641,0.133531,94.2003913149,27.3665198949,36450.758024,149.0,185.357011278,0.00675640356613,0.55118018312,37.923042021,16524.0,274.347050837,20768.9531789,0.00569790105359,0.672863249038,-0.189135584791,0.66769544562,0.996345020249,0.536377054357,0.0569399499388,-0.473767007138,2.8440566794,42.2823608935,0.588211200363,187.321002136,1.0711587015,63.1261016355,0.815530104709,32.3556816203,0.707162466684,1,546
0.0373268,71.229821949,0.181008,0.018265,0.165404,85.4196632769,21.9516193138,42891.2178383,135.0,144.922400893,0.00621589826636,0.826825774922,53.5182482513,31493.0,329.623374709,34230.9704202,0.0112833279895,0.696459315038,-0.217620114423,0.835837470825,0.999579415035,0.451066469777,0.210772709306,0.488661039934,1.75164405841,58.9576750059,0.369536873209,189.16802381,1.00987275842,59.8154002025,0.677453671655,27.2839865074,0.440326141849,1,547
0.033172,50.276721924,0.190156,0.02157,0.119695,87.8474357792,23.3841855001,52021.5863467,196.0,224.923842679,0.0117008951034,0.753503899471,46.8752677113,26614.0,273.485147305,31025.0105063,0.00848487956846,0.669940997409,-0.318352181982,0.77519103856,0.999295197508,0.342177645709,0.167920047683,0.386414030369,2.0776281301,52.8960559696,0.470323038269,188.248030986,0.875347161031,58.900210335,0.547585821858,29.4143904574,0.524986023439,1,548
0.03494,61.000973748,0.18496,0.021123,0.139294,79.4178105856,18.9644288661,57570.4563456,170.0,192.858995537,0.0111029803834,0.743038902216,45.3733557618,15660.0,275.098573546,18489.6262693,0.00508646981207,0.672089732275,-0.209165306318,0.711206762672,0.999177776459,0.580758527952,0.155448828957,-0.0653350080754,1.49270870933,51.248980223,0.496829044841,247.905494742,0.919939695793,64.7778028198,0.724291427832,32.8191380811,0.583411660424,1,549
0.0342,77.887104867,0.190142,0.021895,0.180105,93.2719901996,30.1796702453,50330.221858,330.0,346.990431602,0.0174641054051,0.603031281789,41.5434727129,41144.0,279.876468591,47774.8962283,0.0133710692437,0.651031310484,-0.269227654694,0.728433026902,0.985901993633,0.54416038734,0.426038543114,0.819999080888,2.05928186138,47.0130118617,0.545439781528,225.50799904,0.862023702382,71.2926060387,0.795465587939,35.4020181759,0.627982855176,0,550
0.034,60.958963494,0.188745,0.012315,0.114797,83.7388322801,18.6480826019,48625.4010356,181.0,213.005904168,0.0103574975131,0.463232232771,35.7578231442,11786.0,317.168114687,14731.908381,0.00467249160696,0.72250282775,-0.212284247925,0.668274969311,0.0285079603843,0.614816588456,0.114796622614,-0.102569271671,2.73477206527,40.9719073378,0.665710819532,181.721788552,0.883507834672,59.0587965506,0.610773437897,30.019046102,0.514024155265,0,551
0.0337908,54.618068934,0.187004,0.022512,0.113269,85.0459286622,16.4533250293,28450.3765609,150.0,169.439471828,0.00482061677778,0.737128087522,46.7835329679,12757.0,279.057079106,14741.601515,0.00411374826011,0.688556712408,-0.184532047663,0.691945205798,0.987225500157,0.616437741013,0.0581954095277,0.695430319126,1.39250302404,52.0863586661,0.454926013759,199.216292329,0.773623585801,60.0912724786,0.689147678472,30.0470211559,0.540583763404,1,552
0.036,71.73627318,0.177808,0.022326,0.174263,81.1753196041,18.5859982985,96859.0373069,354.0,375.264981758,0.0363478048681,0.730325588006,46.5519729605,17681.0,306.468099495,20509.5535686,0.00628552390365,0.697991401835,-0.185737514056,0.719794442354,0.0374712894473,0.658799497563,0.135464967356,-0.659691919009,1.63866619266,52.2030835231,0.470095996576,258.682344614,0.897607270315,67.551686219,0.711477188702,36.6744817382,0.558019901687,1,553
0.0334372,62.711493273,0.192706,0.021445,0.136009,89.5588333931,27.9334597186,40362.3058927,193.0,224.39121886,0.00905694701524,0.718352268683,45.3523463733,33384.0,282.11343123,39047.1318844,0.0110157203556,0.67416592461,-0.290285746248,0.749849193453,0.99879658947,0.346008714793,0.169391831729,0.83152731973,1.5455227016,50.9646569194,0.488810712299,182.470572528,0.765402459706,60.6836459909,0.59213494909,30.4291634843,0.431885297831,1,554
0.0347632,61.413044121,0.198079,0.014146,0.144156,92.6603061608,21.1939144917,33344.744853,261.0,260.39441659,0.00868278538233,0.749781197397,47.2196602258,33533.0,289.313699395,35634.0382189,0.0103094154215,0.65395609794,-0.234487978014,0.766362784823,0.998361273241,0.353842669839,0.193488340213,0.466219836114,1.88565113316,52.4104130367,0.442610059592,198.836127068,0.799472642908,63.1565788144,0.636376285676,30.7760324734,0.514259262329,1,555
